Distance,RayParameter,TravelTime
74.8,4.299,716.11
74.9,4.301,716.54
75,4.302,716.97
75.1,4.303,717.40
75.2,4.305,717.83
75.3,4.306,718.27
75.4,4.307,718.70
75.5,4.309,719.13
75.6,4.310,719.56
75.7,4.311,719.99
75.8,4.313,720.42
75.9,4.314,720.85
76,4.315,721.28
76.1,4.316,721.71
76.2,4.318,722.15
76.3,4.319,722.58
76.4,4.320,723.01
76.5,4.321,723.44
76.6,4.323,723.87
76.7,4.324,724.31
76.8,4.325,724.74
76.9,4.326,725.17
77,4.327,725.60
77.1,4.329,726.04
77.2,4.330,726.47
77.3,4.331,726.90
77.4,4.332,727.34
77.5,4.333,727.77
77.6,4.334,728.20
77.7,4.336,728.64
77.8,4.337,729.07
77.9,4.338,729.50
78,4.339,729.94
78.1,4.340,730.37
78.2,4.341,730.81
78.3,4.342,731.24
78.4,4.343,731.67
78.5,4.345,732.11
78.6,4.346,732.54
78.7,4.347,732.98
78.8,4.348,733.41
78.9,4.349,733.85
79,4.350,734.28
79.1,4.351,734.72
79.2,4.352,735.15
79.3,4.353,735.59
79.4,4.354,736.02
79.5,4.355,736.46
79.6,4.356,736.89
79.7,4.357,737.33
79.8,4.358,737.76
79.9,4.359,738.20
80,4.360,738.64
80.1,4.361,739.07
80.2,4.362,739.51
80.3,4.363,739.95
80.4,4.364,740.38
80.5,4.365,740.82
80.6,4.366,741.25
80.7,4.367,741.69
80.8,4.368,742.13
80.9,4.369,742.56
81,4.369,743.00
81.1,4.370,743.44
81.2,4.371,743.88
81.3,4.372,744.31
81.4,4.373,744.75
81.5,4.374,745.19
81.6,4.375,745.62
81.7,4.376,746.06
81.8,4.377,746.50
81.9,4.377,746.94
82,4.378,747.38
82.1,4.379,747.81
82.2,4.380,748.25
82.3,4.381,748.69
82.4,4.382,749.13
82.5,4.382,749.57
82.6,4.383,750.00
82.7,4.384,750.44
82.8,4.385,750.88
82.9,4.386,751.32
83,4.386,751.76
83.1,4.387,752.20
83.2,4.388,752.64
83.3,4.389,753.07
