Distance,RayParameter,TravelTime
175,0.289,1211.76
175.1,0.283,1211.79
175.2,0.277,1211.82
175.3,0.271,1211.85
175.4,0.266,1211.87
175.5,0.260,1211.90
175.6,0.254,1211.93
175.7,0.248,1211.95
175.8,0.242,1211.98
175.9,0.236,1212.00
176,0.231,1212.02
176.1,0.225,1212.05
176.2,0.220,1212.07
176.3,0.214,1212.09
176.4,0.208,1212.11
176.5,0.202,1212.13
176.6,0.197,1212.15
176.7,0.191,1212.17
176.8,0.185,1212.19
176.9,0.179,1212.21
177,0.173,1212.23
177.1,0.167,1212.24
177.2,0.161,1212.26
177.3,0.156,1212.27
177.4,0.150,1212.29
177.5,0.145,1212.31
177.6,0.139,1212.32
177.7,0.133,1212.33
177.8,0.127,1212.35
177.9,0.121,1212.36
178,0.116,1212.37
178.1,0.110,1212.38
178.2,0.104,1212.39
178.3,0.098,1212.40
178.4,0.092,1212.41
178.5,0.086,1212.42
178.6,0.081,1212.43
178.7,0.075,1212.44
178.8,0.069,1212.44
178.9,0.064,1212.45
179,0.058,1212.46
179.1,0.052,1212.46
179.2,0.046,1212.47
179.3,0.041,1212.47
179.4,0.035,1212.48
179.5,0.029,1212.48
179.6,0.023,1212.48
179.7,0.017,1212.48
179.8,0.012,1212.48
179.9,0.006,1212.49
180,0.000,1212.49
